,index,kn,gn,n_bed,d_int,d_bed,rho_int,rho_bed,freq,amp,gamma,zint_i,deg_i,E_pot,zint_f,deg_f,E_pot.1,label
82,82,1580,307,183,0.0135,0.0045,791.04,1105.79,31.79,0.00691209,28.14,0.1079,196,0.0877,0.8814,208,0.1086,A
83,83,1798,302,134,0.0131,0.0048,766.98,1077.35,20.88,0.01,11.42,0.1219,141,0.0753,0.8813,136,0.0943,A
84,84,1826,340,150,0.0123,0.0041,875.67,1164.48,16.65,0.01,8.41,0.1237,86,0.0621,0.879,75,0.0614,A
85,85,1443,343,152,0.013999999999999999,0.0043,819.45,1166.99,41.54,0.01,58.61,0.1482,159,0.069,0.8767,172,0.0343,A
86,86,1232,339,128,0.0138,0.0047,897.32,1148.84,28.79,0.01,23.2,0.1319,170,0.0706,0.8744,204,0.0764,A
87,87,1921,331,105,0.0134,0.0054,828.64,1156.44,49.81,0.01,74.72,0.1076,141,0.0762,0.8733,127,0.0914,A
88,88,1921,331,105,0.0134,0.0054,791.04,1156.44,49.81,0.01,74.72,0.1076,141,0.0762,0.8733,127,0.0914,A
89,89,1317,389,134,0.0125,0.0043,761.65,1021.77,35.72,0.007095438000000001,36.47,0.1436,129,0.0627,0.8678,126,0.0727,A
90,90,1317,389,134,0.0125,0.0043,791.04,1021.77,35.72,0.007095438000000001,36.47,0.1436,129,0.0627,0.8678,126,0.0727,A
91,91,1957,341,139,0.0143,0.005,765.83,1075.31,47.25,0.01,60.52,0.1201,127,0.0845,0.8674,131,0.1046,A
92,92,1957,341,139,0.0143,0.005,791.04,1075.31,47.25,0.01,60.52,0.1201,127,0.0845,0.8674,131,0.1046,A
93,93,1176,385,105,0.0138,0.004,769.66,1002.13,19.54,0.01,11.66,0.2276,88,0.0444,0.8673,95,0.0429,A
94,94,1176,385,105,0.0138,0.004,791.04,1002.13,19.54,0.01,11.66,0.2276,88,0.0444,0.8673,95,0.0429,A
95,95,1831,363,108,0.0143,0.0058,799.38,1012.7,19.74,0.01,13.13,0.1049,131,0.0896,0.8672,152,0.0622,A
96,96,1761,393,190,0.0121,0.0053,777.0,1019.14,21.11,0.01,14.89,0.0588,207,0.1224,0.8656,211,0.083,A
97,97,1761,393,190,0.0121,0.0053,791.04,1019.14,21.11,0.01,14.89,0.0588,207,0.1224,0.8656,211,0.083,A
98,98,1500,334,139,0.0141,0.004,765.78,1094.24,34.02,0.01,34.07,0.1896,99,0.0583,0.8625,118,0.0247,A
99,99,1439,344,132,0.0123,0.0045,800.62,1052.11,28.66,0.01,27.84,0.1287,128,0.0665,0.8624,143,0.0832,A
100,100,1600,334,184,0.0123,0.0048,891.0,1048.31,17.75,0.0074535090000000005,9.46,0.0772,199,0.1002,0.8602,202,0.0637,A
101,101,1600,334,184,0.0123,0.0048,791.04,1048.31,17.75,0.0074535090000000005,9.46,0.0772,199,0.1002,0.8602,202,0.0637,A
102,102,1887,316,166,0.013000000000000001,0.0054,715.06,1157.88,10.21,0.006858156,2.88,0.0664,243,0.1127,0.8579,228,0.0817,A
103,103,1290,331,160,0.0128,0.0057,779.21,1061.32,11.12,0.008351223,4.16,0.057,279,0.1232,0.8554,296,0.0801,A
104,104,1290,331,160,0.0128,0.0057,791.04,1061.32,11.12,0.008351223,4.16,0.057,279,0.1232,0.8554,296,0.0801,A
